No.,School's Name,Rank,Score1,Score2,Demand Scale,
1,City Honors School (Buffalo) (5-12),1,3.5,A,1067,https://www.niche.com/k12/ps-195---city-honors-school-buffalo-ny/
2,Frederick Law Olmsted (Buffalo) (5-12),2,4,B+,817,https://www.niche.com/k12/ps-156---frederick-law-olmsted-buffalo-ny/
3,Hutchinson Central Technical HS (Buffalo),3,4,A-,1148,https://www.niche.com/k12/ps-304---hutchinson-central-technical-high-school-buffalo-ny/
4,Leonardo Da Vinci HS (Buffalo),4,3.5,B-,372,https://www.niche.com/k12/ps-212---leonardo-da-vinci-high-school-buffalo-ny/
5,Visual & Performing Arts COTY (Buffalo) (5-12),5,3.5,C,747,https://www.niche.com/k12/ps-192---buffalo-academy-for-the-visual--and--performing-arts-buffalo-ny/
6,Buffalo Academy of Science CS (Buffalo),6,3.5,C+,1935,https://www.niche.com/k12/charter-school-for-applied-technologies-buffalo-ny/
7,Emerson School of Hosptoality( Buffalo),7,3.5,C,693,https://www.niche.com/k12/ps-302---emerson-school-of-hospitality-buffalo-ny/
8,Mckinley HS?Buffalo?,8,4,C,1053,https://www.niche.com/k12/ps-305---mckinley-high-school-buffalo-ny/
9,"Math, Science and Technology Preparatory School (Buffalo)",9,3.5,C-,716,https://www.niche.com/k12/ps-197---math-science-technology-preparatory-school-buffalo-ny/
10,International Preparatory School (Buffalo) (5-12),10,3.5,C-,770,https://www.niche.com/k12/international-preparatory-school-at-grover-cleveland-buffalo-ny/
11,Bennett HS (Buffalo),11,4,C-,94,https://www.niche.com/k12/ps-200---bennett-high-school-buffalo-ny/
12,South Park HS (Buffalo),12,4,C,827,https://www.niche.com/k12/ps-206---south-park-high-school-buffalo-ny/
13,East HS (Buffalo),13,4.5,C-,141,https://www.niche.com/k12/ps-307---east-high-school-buffalo-ny/
14,Riverside Institute of Technology (Buffalo),14,4,C,406,https://www.niche.com/k12/ps-205---riverside-institute-of-technology-buffalo-ny/
15,Lafayette HS (Buffalo)(7-12),15,3.5,D+,267,https://www.niche.com/k12/ps-204---lafayette-high-school-buffalo-ny/
16,Burgard HS (Buffalo),16,2.5,C-,456,https://www.niche.com/k12/ps-301---burgard-high-school-buffalo-ny/
17,EAST COMMUNITY HIGH SCHOOL,17,4.5,B-,56,https://www.niche.com/k12/east-side-community-school-new-york-ny/
18,Newcomer Academy (7-12),18,3.5,C,244,https://www.niche.com/k12/the-esl-newcomer-academy-louisville-ky/
19,"Middle Early College H,S,",19,5,n/a,395,https://www.niche.com/k12/middle-early-college-high-school-buffalo-ny/rankings/
